id;CLM_FREQ; CLM_AMT_1 ; CLM_AMT_2 ; CLM_AMT_3 ; CLM_AMT_4 ; CLM_AMT_5 ; CLM_AMT_6 ; CLM_AMT_7 ; CLM_AMT_8 ; CLM_AMT_9 ; CLM_AMT_10 ; CLM_AMT_11 ;CAR_USE;CAR_TYPE;AGE;GENDER;AREA;PREMIUM;FEES
215;3;169;69;83; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban;518;26
216;1;190; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;F;Urban;491;25
217;1;145; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;F;Rural;660;33
218;1;313; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;517;26
219;3;41;176;162; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural;619;31
220;1;153; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;F;Rural;316;16
221;3;175;125;242; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;502;25
222;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;31;F;Urban;340;17
223;6;158;134;204;206;143;74; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;561;28
224;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Rural;510;26
225;4;116;174;118;138; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;328;16
226;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;562;28
227;8;184;139;180;278;391;363;228;431; -   ; -   ; -   ;Private;SUV;49;F;Urban;619;31
228;3;301;229;144; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;45;F;Urban;512;26
229;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;609;30
230;4;53;221;135;154; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;41;F;Rural;483;24
231;1;209; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;45;F;Rural;381;19
232;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;F;Urban;362;18
233;1;206; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;51;F;Urban;498;25
234;8;164;122;127;154;97;230;354;127; -   ; -   ; -   ;Private;Sports Car;51;F;Urban;377;19
235;3;299;109;155; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;36;M;Urban;484;24
236;3;178;227;446; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;402;20
237;1;337; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;F;Urban;463;23
238;5;262;218;238;116;195; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;631;32
239;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;40;M;Urban;680;34
240;3;81;138;143; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;31;F;Rural;530;27
241;5;233;60;73;124;417; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;490;25
242;4;109;149;272;89; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;58;F;Urban;637;32
243;2;261;193; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;493;25
244;3;83;89;423; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;50;F;Urban;372;19
245;2;86;308; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;45;M;Urban;434;22
246;2;198;110; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;46;F;Urban;669;33
247;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban;683;34
248;3;162;103;165; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;43;M;Urban;653;33
249;1;55; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;630;32
250;1;293; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;48;F;Urban;679;34
251;1;83; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;39;M;Rural;480;24
252;3;93;151;337; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;49;F;Rural;340;17
253;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;45;F;Urban;468;23
254;2;280;292; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;629;31
255;2;294;192; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;59;F;Urban;327;16
256;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;60;M;Urban;429;21
257;2;59;197; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;49;F;Urban;513;26
258;1;112; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;464;23
259;6;65;139;165;73;148;253; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;34;M;Rural;409;20
260;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;57;M;Urban;328;16
261;3;278;50;136; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;33;M;Rural;437;22
262;4;66;94;140;94; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;52;M;Urban;381;19
263;1;251; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;53;F;Urban;507;25
264;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;57;F;Urban;434;22
265;6;37;68;202;140;112;82; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;446;22
266;1;61; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;M;Urban;380;19
267;4;169;182;175;91; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Rural;627;31
268;1;149; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;36;F;Urban;411;21
269;1;215; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;51;M;Rural;585;29
270;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;39;M;Urban;395;20
271;2;39;104; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Rural;614;31
272;2;257;162; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;40;F;Urban;661;33
273;3;273;193;48; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;581;29
274;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;34;F;Urban;682;34
275;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;343;17
276;5;314;126;198;70;221; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;36;M;Urban;425;21
277;4;82;220;176;120; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;672;34
278;2;73;129; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;45;F;Urban;646;32
279;1;116; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;M;Urban;384;19
280;2;199;96; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;50;F;Urban;311;16
281;6;118;185;187;554;90;205; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;519;26
282;1;134; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;F;Urban;578;29
283;2;237;201; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;392;20
284;1;111; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Urban;339;17
285;3;190;106;137; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;60;M;Urban;698;35
286;4;130;172;96;140; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;M;Rural;354;18
287;3;296;167;135; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;57;F;Urban;473;24
288;3;197;126;245; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;472;24
289;2;154;148; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;47;M;Urban;653;33
290;2;94;177; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban;381;19
291;7;92;181;158;125;296;347;212; -   ; -   ; -   ; -   ;Private;Sedan;34;M;Urban;416;21
292;2;78;213; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;52;F;Rural;411;21
293;2;149;304; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;611;31
294;3;136;79;149; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;41;M;Rural;360;18
295;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;41;M;Urban;427;21
296;3;84;417;117; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;M;Urban;651;33
297;2;215;136; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;42;F;Urban;429;21
298;2;203;140; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;56;F;Urban;463;23
299;4;73;107;442;159; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;50;M;Urban;574;29
300;3;237;169;254; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;59;F;Urban;578;29
301;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;51;F;Urban;502;25
302;6;264;73;186;355;163;210; -   ; -   ; -   ; -   ; -   ;Private;Pickup;53;M;Urban;606;30
303;7;188;88;148;221;101;127;225; -   ; -   ; -   ; -   ;Commercial;SUV;35;F;Urban;438;22
304;2;230;339; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;54;F;Urban;509;25
305;3;94;160;347; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;50;F;Urban;470;24
306;2;168;85; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;29;F;Urban;625;31
307;1;79; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;514;26
308;3;137;53;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;57;F;Urban;350;18
309;5;192;83;325;188;130; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;43;M;Urban;337;17
310;4;183;96;135;152; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;327;16
311;3;265;271;195; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;38;F;Urban;370;19
312;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;485;24
313;3;385;94;70; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;55;F;Rural;679;34
314;1;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;51;F;Rural;562;28
315;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;42;F;Urban;611;31
316;5;239;91;166;74;165; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;45;F;Rural;314;16
317;3;296;200;155; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;54;M;Urban;438;22
318;4;105;65;195;410; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Rural;435;22
319;3;148;43;116; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;523;26
320;5;211;280;149;125;243; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;48;F;Urban;369;18
321;4;204;159;172;135; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural;565;28
322;5;61;133;340;105;174; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;25;F;Urban;416;21
323;6;134;155;139;119;164;145; -   ; -   ; -   ; -   ; -   ;Commercial;Van;55;M;Urban;419;21
324;1;161; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban;426;21
325;1;219; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;29;F;Urban;683;34
326;1;185; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;45;M;Urban;319;16
327;3;143;213;132; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;524;26
328;3;71;303;120; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;56;M;Urban;426;21
329;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;404;20
330;2;134;146; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;51;F;Urban;307;15
331;2;126;306; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;F;Rural;580;29
332;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;52;M;Rural;677;34
333;5;283;170;168;141;117; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;40;M;Urban;419;21
334;6;154;221;149;41;106;274; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;41;F;Urban;594;30
335;1;148; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;44;M;Urban;545;27
336;1;223; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;54;M;Urban;677;34
337;1;239; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;42;M;Urban;398;20
338;2;56;173; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;50;M;Rural;501;25
339;2;230;248; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;38;M;Urban;698;35
340;1;121; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban;393;20
341;4;95;143;278;585; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;62;F;Urban;301;15
342;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;47;M;Urban;643;32
343;6;202;81;108;216;166;128; -   ; -   ; -   ; -   ; -   ;Private;SUV;47;F;Urban;369;18
344;5;261;147;221;173;134; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;46;M;Urban;539;27
345;3;65;694;130; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;42;M;Urban;387;19
346;3;255;57;106; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;44;F;Urban;378;19
347;2;142;326; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;36;F;Urban;467;23
348;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;33;M;Urban;634;32
349;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;35;F;Urban;408;20
350;2;197;326; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;43;F;Urban;332;17
351;2;179;105; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;M;Urban;406;20
352;3;269;114;56; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;551;28
353;6;214;66;280;93;99;97; -   ; -   ; -   ; -   ; -   ;Private;Sedan;27;M;Urban;442;22
354;4;90;274;75;76; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban;501;25
355;4;231;183;682;100; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;40;F;Urban;619;31
356;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;631;32
357;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;42;F;Rural;473;24
358;1;183; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;57;F;Rural;590;30
359;1;172; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;F;Urban;611;31
360;1;157; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;64;M;Urban;637;32
361;4;151;163;101;942; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;32;F;Urban;568;28
362;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;39;F;Urban;325;16
363;4;310;44;176;108; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;F;Urban;509;25
364;1;62; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;438;22
365;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;39;M;Urban;443;22
366;1;142; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;32;F;Urban;566;28
367;4;276;105;34;90; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;613;31
368;2;183;81; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;39;F;Urban;569;28
369;3;161;344;111; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Rural;632;32
370;2;98;130; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;35;M;Urban;313;16
371;2;164;79; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;64;F;Urban;365;18
372;2;90;100; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;670;34
373;3;151;207;114; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;59;F;Urban;590;30
374;1;213; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Pickup;39;M;Urban;669;33
375;3;164;222;181; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;44;M;Urban;382;19
376;2;131;81; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban;367;18
377;1;418; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;43;F;Urban;378;19
378;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;F;Urban;597;30
379;4;91;94;85;138; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;38;F;Urban;643;32
380;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;48;M;Rural;425;21
381;2;168;67; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;60;F;Urban;480;24
382;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;59;M;Urban;441;22
383;4;149;132;194;135; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;336;17
384;2;68;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Urban;637;32
385;1;274; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;64;F;Urban;487;24
386;4;123;224;313;116; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban;643;32
387;5;151;205;133;189;245; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;620;31
388;1;132; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;54;M;Urban;600;30
389;7;129;103;158;106;186;192;180; -   ; -   ; -   ; -   ;Private;SUV;35;F;Urban;527;26
390;6;76;127;210;224;132;116; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;637;32
391;1;98; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sports Car;26;F;Urban;436;22
392;4;175;123;116;136; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;43;M;Urban;515;26
393;2;96;156; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;43;F;Urban;629;31
394;1;185; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;54;F;Urban;621;31
395;2;214;149; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;55;M;Urban;690;35
396;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;45;M;Rural;324;16
397;3;296;273;180; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;42;M;Urban;612;31
398;6;189;187;113;145;233;170; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;46;M;Urban;344;17
399;9;112;302;134;163;127;135;201;187;227; -   ; -   ;Commercial;Pickup;47;M;Rural;533;27
400;3;122;55;122; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;45;F;Urban;563;28
401;3;205;180;399; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;55;F;Urban;461;23
402;2;170;121; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;43;F;Rural;334;17
403;4;130;149;242;154; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;53;M;Urban;525;26
404;1;309; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;49;F;Urban;415;21
405;11;55;113;131;192;78;119;133;159;298;156;298;Private;SUV;30;F;Rural;600;30
406;3;235;94;137; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;47;F;Urban;461;23
407;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;41;F;Urban;555;28
408;3;138;258;145; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;462;23
409;1;276; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;44;F;Urban;552;28
410;3;193;73;238; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;31;F;Rural;457;23
411;8;313;48;96;127;95;82;153;415; -   ; -   ; -   ;Private;SUV;51;F;Urban;536;27
412;3;122;165;205; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;50;M;Urban;307;15
413;2;163;97; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;58;M;Urban;510;26
414;1;148; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;56;M;Urban;582;29
415;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;41;F;Urban;302;15
416;3;80;89;59; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;37;M;Urban;670;34
417;2;238;220; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;57;F;Rural;528;26
418;3;187;101;395; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;566;28
419;3;65;498;138; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;34;F;Urban;569;28
420;2;101;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Pickup;49;M;Urban;328;16
421;3;105;134;277; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;42;F;Urban;574;29
422;5;342;196;160;237;104; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Sedan;38;M;Rural;515;26
423;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;55;M;Urban;382;19
424;5;141;94;176;146;97; -   ; -   ; -   ; -   ; -   ; -   ;Private;SUV;37;F;Urban;636;32
425;5;100;328;191;256;284; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Panel Truck;25;M;Urban;487;24
426;1;133; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sedan;44;M;Urban;526;26
427;1;79; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;SUV;20;F;Urban;390;20
428;3;73;109;158; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;40;F;Urban;394;20
429;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Van;32;M;Urban;684;34
430;0; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;Private;Sports Car;35;F;Urban;488;24
431;5;39;105;126;61;237; -   ; -   ; -   ; -   ; -   ; -   ;Commercial;Van;37;M;Urban;502;25
